algo,src,dst,haul_category,direct_distance_km,runs,mean_time_ms,median_time_ms,min_time_ms,stdev_time_ms,cost_km,hops,expanded_nodes,relaxations,heap_pushes,status
ASTAR,LAS,SEA,medium,1395.1092057509343,200,0.0389933300004941,0.036902000005056834,0.03612900002281094,0.005157197508830061,1395.111133,1,2,12,13,OK
DIJKSTRA,ATL,MSP,medium,1459.7181270186938,200,0.05853985000157991,0.05502050001382486,0.05414999998265557,0.007298404498290209,1459.720143,1,13,178,20,OK
ASTAR,ATL,MSP,medium,1459.7181270186938,200,0.05468889999804105,0.04773599999907674,0.046246000010796706,0.01276360385433261,1459.720143,1,2,19,20,OK
DIJKSTRA,IAH,ORD,medium,1490.6518824102207,200,0.3076065149988949,0.0384345000270514,0.037412999972730177,3.7225504712108095,1490.653941,1,6,81,22,OK
ASTAR,IAH,ORD,medium,1490.6518824102207,200,0.046898370001713374,0.043295999972770005,0.042223999969337456,0.006718422304608417,1490.653941,1,2,16,17,OK
DIJKSTRA,DFW,CLT,medium,1503.206927537807,200,0.045273360000521734,0.04063700001211146,0.039647999983571935,0.007731118768600284,1503.209004,1,7,91,23,OK
ASTAR,DFW,CLT,medium,1503.206927537807,200,0.37088386999926115,0.04479150001657217,0.04348099997741883,4.5384265285297,1503.209004,1,2,17,18,OK
DIJKSTRA,MCO,JFK,medium,1521.388614274919,200,0.05589661499925569,0.05022950000466153,0.04901299996618036,0.00886925030393932,1625.7343716999999,2,10,135,25,OK
ASTAR,MCO,JFK,medium,1521.388614274919,200,0.061442709996413214,0.055868000004011265,0.05470199999990655,0.009936562541458218,1625.7343716999999,2,4,39,23,OK
DIJKSTRA,SEA,LAX,medium,1536.9096838729727,200,0.35873091499809107,0.03462899999817637,0.033732000019881525,4.5397249847232795,1775.1059313,2,5,56,22,OK
ASTAR,SEA,LAX,medium,1536.9096838729727,200,0.06004818999940653,0.05719600002862535,0.049176000004536036,0.010792163957283657,1775.1059313,2,3,28,20,OK
DIJKSTRA,FLL,IAH,medium,1551.5348292584895,200,0.044498560000931775,0.0401294999790025,0.03925799995840862,0.007631738369099132,1657.904092,2,7,80,25,OK
ASTAR,FLL,IAH,medium,1551.5348292584895,200,0.05227538000212917,0.046099000002186585,0.044015000014496763,0.009816552832291242,1657.904092,2,3,21,17,OK
DIJKSTRA,DFW,MCO,medium,1582.41573164863,200,0.3498880799989479,0.0437820000058764,0.04267399998525434,4.255623752853136,1582.417917,1,8,109,23,OK
ASTAR,DFW,MCO,medium,1582.41573164863,200,0.050269400000502173,0.04492850001724946,0.04365600000255654,0.008429732172778603,1582.417917,1,2,17,18,OK
DIJKSTRA,DFW,SLC,medium,1589.4643642336023,200,0.05431700499542558,0.049074999992626545,0.048128000003089255,0.008039113379210996,1589.46656,1,10,137,23,OK
ASTAR,DFW,SLC,medium,1589.4643642336023,200,0.37075649500025065,0.04462399999738409,0.04356300001973068,4.538033205710071,1589.46656,1,2,17,18,OK
DIJKSTRA,PHL,FLL,medium,1600.6274630963787,200,0.06360609000068962,0.05892099997595324,0.05413100001305793,0.010720550110564348,1600.629674,1,11,156,30,OK
ASTAR,PHL,FLL,medium,1600.6274630963787,200,0.03697570500179381,0.03391900000337955,0.03307899999072106,0.006438324290813891,1600.629674,1,2,10,11,OK
DIJKSTRA,ORD,MCO,medium,1620.0831318136934,200,0.061983440000688006,0.055515000013883764,0.053999999977349944,0.010045492751531262,1620.08537,1,12,178,22,OK
ASTAR,ORD,MCO,medium,1620.0831318136934,200,0.35269310000217047,0.04390500001250075,0.04224100001692932,4.259302586092478,1620.08537,1,2,16,17,OK
DIJKSTRA,PHL,MIA,medium,1634.2404123723134,200,0.06268408999915209,0.05773300000555537,0.056576999952540064,0.008039814633056338,1698.5309656999998,2,12,166,30,OK
ASTAR,PHL,MIA,medium,1634.2404123723134,200,0.05581245500280829,0.05093949999945835,0.04978800001254058,0.008390580008937583,1698.5309656999998,2,4,31,20,OK
DIJKSTRA,IAH,MSP,medium,1666.9116598602661,200,0.3726310000001831,0.04742550001424206,0.046406000024035166,4.537474898074073,1666.913962,1,10,128,22,OK
ASTAR,IAH,MSP,medium,1666.9116598602661,200,0.04736363000063193,0.04322949999391312,0.04211599997461235,0.007033086456169442,1666.913962,1,2,16,17,OK
DIJKSTRA,EWR,FLL,medium,1716.8328256299758,200,0.056664145000127064,0.05151049998630697,0.0502170000231672,0.00852103986822787,1716.835197,1,11,156,21,OK
ASTAR,EWR,FLL,medium,1716.8328256299758,200,0.35074310999959835,0.04319100000316212,0.041992999967988,4.267121141321789,1716.835197,1,2,16,17,OK
DIJKSTRA,DTW,IAH,medium,1730.8726864303042,200,0.06839800999898671,0.05663500002128785,0.05504999995764592,0.017052882910663446,1730.875077,1,12,173,23,OK
ASTAR,DTW,IAH,medium,1730.8726864303042,200,0.058140464998359676,0.053575000009686846,0.04409500002111599,0.014839695579831932,1730.875077,1,2,17,18,OK
DIJKSTRA,MIA,JFK,medium,1757.121516123796,200,0.3873598999982164,0.06420299999376766,0.05375599999979386,4.539078928929349,1935.7079294,3,12,162,25,OK
ASTAR,MIA,JFK,medium,1757.121516123796,200,0.07002741000235346,0.06365849998246631,0.062479999996867264,0.01148816219997089,1935.7079294,3,6,67,25,OK
